Date,Description,Amount(GBP)
23/08/2022,TESCO SUBSCRIPTION     01707298000   GBR,6.99
25/08/2022,AMZNMKTPLACE           AMAZON,9.97
25/08/2022,AMZNMKTPLACE           AMAZON,14.98
25/08/2022,CO-OP,11.35
28/08/2022,PAYMENT RECEIVED - THANK YOU,-688.58
26/08/2022,TESCO STORE,148.13
26/08/2022,JET CHILTON            CHILTON       GBR,48.19
29/08/2022,LIDL,1.94
29/08/2022,MARKS & SPENCER,14.25
29/08/2022,MARKS & SPENCER,28.1
29/08/2022,WATERSTONES            GATESHEAD     GBR,10.99
29/08/2022,Prime Video *6G7D43DS5 353-12477661  GBR,3.49
29/08/2022,AMAZON,16.13
30/08/2022,TIM HORTONS WASHINGTON TYNE & WEAR   GBR,3.39
30/08/2022,The Grind Cafe Bar     Spennymoor    GBR,42.73
30/08/2022,ZTL*Higginbottom Pharm Ferryhill     GBR,9.35
30/08/2022,ALDI,22.83
31/08/2022,AMAZON,4.4
31/08/2022,AMZNMKTPLACE           AMAZON,14.48
01/09/2022,AIRBNB * HMB4NZQHB5    203-318-1111  GBR,320
03/09/2022,PAYMENT RECEIVED - THANK YOU,-688.4
02/09/2022,BLUE MARLIN            SOUTH SHIELDS GBR,13.1
02/09/2022,TONEY MICHELLA HAVEN P SOUTH SHIELDS GBR,4.7
02/09/2022,ASDA,46.96
02/09/2022,TESCO STORE,73.74
03/09/2022,AIRALO                 SINGAPORE     SGP,13.88
03/09/2022,NON STERLING TRANSACTION FEE,0.38
03/09/2022,AMZNMKTPLACE           AMAZON,11.6
03/09/2022,PETS AT HOME,2.58
03/09/2022,MARKS & SPENCER,17
04/09/2022,AMZNMKTPLACE           AMAZON,37.35
04/09/2022,AMAZON,25.2
04/09/2022,AMZNMKTPLACE           AMAZON,12.58
06/09/2022,KIP HILL SERVICES      STANLEY       GBR,50.04
06/09/2022,SAINSBURY'S,10.75
07/09/2022,THE OLD MILL           METAL BRIDGE  GBR,31.35
08/09/2022,AMAZON,1.8
09/09/2022,AMAZON,2.99
10/09/2022,TESCO STORE,82.1
12/09/2022,AMZNMKTPLACE           AMAZON,14.98
13/09/2022,ASDA,29.54
13/09/2022,AMZNMKTPLACE           AMAZON,12.98
14/09/2022,LAITHWAITES WINE       THEALE        GBR,82.97
15/09/2022,CO-OP,2.6
16/09/2022,Les Mills Media        Freeman's Bay NZL,11.95
16/09/2022,TESCO STORE,157.58
16/09/2022,GREGGS                 FERRYHILL     GBR,5.9
17/09/2022,CAPRINOS PIZZA         LEEK          GBR,19.98
17/09/2022,Alt Twrs Food & Bev    Alton         GBR,6.8
17/09/2022,Alt Twrs Food & Bev    Alton         GBR,7.75
17/09/2022,Alt Twrs Retail        Alton         GBR,2.7
17/09/2022,ALTON TOWERS RESORT    DORSET        GBR,2.7
18/09/2022,JET SHILDON            SHILDON       GBR,3.98
18/09/2022,WETHERBY COSTA         WEST YORKSHIR GBR,12
18/09/2022,WETHERBY MWSA          WETHERBY WEST GBR,97.44
20/09/2022,ASDA PETROL,50.73
20/09/2022,NAKEDWINES,25
20/09/2022,ASDA,42.32
